,AU
982,Sezer Rifat
983,Kurtaran Raif
984,Ozbay Musa
985,Tasdelen Mehmet
986,Bayhan Seden
987,Sarici Kazim
988,Merhan Aziz
989,Aslan Emel
990,Akyuzoglu Huseyin
991,Camci Celaletdin
992,Balkan Ayse
993,Altunok Muhammet
994,Cengiz Mustafa
995,Aysev Ahmet
996,Yuksekkaya Hasan
997,Ozkan Tahir
998,Aktan Ali
999,Ornek Tacettin
1000,Gunay Ramazan
1001,Ziypak Tevfik
1002,Akarsu Bayram
1003,Kucuktufekci Murat
1004,Cincioglu Asuman
1005,Eken Cenker
1006,Cetin Ozdemir
1007,Gunay Burcu
1008,Degerliyurt Mehmet
1009,Temizoz Osman
1010,Sakin Serdar
1011,Aslan Lokman
1012,Asoglu Veysel
1013,Boruban Melih
1014,Ozdemir Selim
1015,Kocak Mahmut
1016,Sari Nagihan
1017,Sayin Utku
1018,Cengiz Suleyman
1019,Sise Sengul
1020,Inan Halil
1021,Celiksoz Ali
1022,Mukul Irfan
1023,Biskin Sultan
1024,Kumral Bahadir
1025,Bicer Umit
1026,Buker Hasan
1027,Bektas Ali
1028,Aslankurt Murat
1029,Polat Huseyin
1030,Dogan Muammer
1031,Catal Mehmet
1032,Tuna Serif
1033,Ulvi Hizir
1034,Kerman Uysal
1035,Birdane Alparslan
1036,Penabgul Necmettin
1037,Cakmakli Selim
1038,Gorgunoglu Salih
1039,Ellek Hasan
1040,Kivrak Ali
1041,Sahin Nursel
1042,Ekinci Afra
1043,Kaptanoglu Cem
1044,Hosnuter Mubin
1045,Kilinc Necmettin
1046,Kucukoner Mustafa
1047,Akci Onder
1048,Cengelci Bekir
1049,Ulu Cafer
1050,Baskal Tamer
1051,Turkel Yakup
1052,Virit Osman
1053,Ekinci Deniz
1054,Bagdigen Muhlis
1055,Sener Mustafa
1056,Motor Vicdan
1057,Petik Bulent
1058,Ozturk Fatih
1059,Boyar Serkan
1060,Kanbur Mehmet
1061,Muftuoglu Ali
1062,Kara Levent
1063,Pinar Gul
1064,Yuksel Seref
1065,Kocak Recep
1066,Korucu Demet
1067,Sogut Erkan
1068,Gungor Ibrahim
1069,Okay Aydemir
1070,Terzi Elcin
1071,Dundar Murat
1072,Simsek Erkan
1073,Ozcan Ali
1074,Durat Mesut
1075,Terzioglu Suleyman
1076,Cevit Omer
1077,Gunok Emrah
1078,Herken Hasan
1079,Akgedik Recep
1080,Keslioglu Kazim
1081,Bozkus Ferhat
1082,Ozeken Omer
1083,Selek Dilek
1084,Ongan Tevfik
1085,Yesil Yalcin
1086,Aykut Seref
1087,Kala Hasan
1088,Demirer Ahmet
1089,Tankut Ali
1090,Unal Deniz
1091,Ozer Ahmet
1092,Demir Gozde
1093,Kart Hasan
1094,Imrek Huseyin
1095,Ozcan Mehmet
1096,Yasar Zehra
1097,Ayac Ahme
1098,Cetiner Ziya
1099,Akdeniz Celal
1100,Atac Yasin
1101,Ekin Ali
1102,Karakus Kadir
1103,Oguzturk Burcu
1104,Bal Vedat
1105,Demir Ismail
1106,Yaman Mehmet
1107,Ozdemir Esin
1108,Kars Meltem
1109,Nalbantcilar Mahmut
1110,Servi Meral
1111,Turkal Mustafa
1112,Parlak Adnan
1113,Cicek Muhammed
1114,Karaca Zeki
1115,Sahin Kemal
1116,Can Humeyra
1117,Bulut Yasemin
1118,Kocer Abdulkadir
1119,Babacan Israfil
1120,Dundar Derya
1121,Kahraman Mehmet
1122,Geyik Mehmet
1123,Sarikaya Muhammed
1124,Eryilmaz Aytekin
1125,Ayvaz Muavviz
1126,Kaya Muharrem
1127,Bal Durmus
1128,Tatar Erdal
1129,Sahin Cemil
1130,Ozturk Metin
1131,Bayram Ilker
1132,Ginis Zeynep
1133,Tetikoglu Mehmet
1134,Sozer Mehmet
1135,Uzunoglu Mehmet
1136,Yildirim Ayhan
1137,Aras Erdal
1138,Dane Asim
1139,Abali Osman
1140,Kutluhan Sabit
1141,Coban Mehmet
1142,Ercin Mehmet
